root_symbol,contract_day,field,value
EC,last_trade,offset,DateOffset(weekday=WE(3))
EC,last_trade,offset,EDay(-2)
EC,first_position,offset,DateOffset(weekday=WE(3))
EC,first_position,offset,EDay(-2)
EC,last_position,offset,DateOffset(weekday=WE(3))
EC,last_position,offset,EDay(-2)
EC,first_delivery,offset,DateOffset(weekday=WE(3))
EC,last_delivery,offset,DateOffset(weekday=WE(3))
M6E,last_trade,offset,DateOffset(weekday=WE(3))
M6E,last_trade,offset,EDay(-2)
M6E,first_position,offset,DateOffset(weekday=WE(3))
M6E,first_position,offset,EDay(-2)
M6E,last_position,offset,DateOffset(weekday=WE(3))
M6E,last_position,offset,EDay(-2)
M6E,first_delivery,offset,DateOffset(weekday=WE(3))
M6E,last_delivery,offset,DateOffset(weekday=WE(3))
C1,last_trade,offset,DateOffset(weekday=WE(3))
C1,last_trade,offset,EDay(-1)
C1,first_position,offset,DateOffset(weekday=WE(3))
C1,first_position,offset,EDay(-1)
C1,last_position,offset,DateOffset(weekday=WE(3))
C1,last_position,offset,EDay(-1)
C1,first_delivery,offset,DateOffset(weekday=WE(3))
C1,last_delivery,offset,DateOffset(weekday=WE(3))
MCD,last_trade,offset,DateOffset(weekday=WE(3))
MCD,last_trade,offset,EDay(-1)
MCD,first_position,offset,DateOffset(weekday=WE(3))
MCD,first_position,offset,EDay(-1)
MCD,last_position,offset,DateOffset(weekday=WE(3))
MCD,last_position,offset,EDay(-1)
MCD,first_delivery,offset,DateOffset(weekday=WE(3))
MCD,last_delivery,offset,DateOffset(weekday=WE(3))
BP,last_trade,offset,DateOffset(weekday=WE(3))
BP,last_trade,offset,EDay(-2)
BP,first_position,offset,DateOffset(weekday=WE(3))
BP,first_position,offset,EDay(-2)
BP,last_position,offset,DateOffset(weekday=WE(3))
BP,last_position,offset,EDay(-2)
BP,first_delivery,offset,DateOffset(weekday=WE(3))
BP,last_delivery,offset,DateOffset(weekday=WE(3))
M6B,last_trade,offset,DateOffset(weekday=WE(3))
M6B,last_trade,offset,EDay(-2)
M6B,first_position,offset,DateOffset(weekday=WE(3))
M6B,first_position,offset,EDay(-2)
M6B,last_position,offset,DateOffset(weekday=WE(3))
M6B,last_position,offset,EDay(-2)
M6B,first_delivery,offset,DateOffset(weekday=WE(3))
M6B,last_delivery,offset,DateOffset(weekday=WE(3))
AD,last_trade,offset,DateOffset(weekday=WE(3))
AD,last_trade,offset,EDay(-2)
AD,first_position,offset,DateOffset(weekday=WE(3))
AD,first_position,offset,EDay(-2)
AD,last_position,offset,DateOffset(weekday=WE(3))
AD,last_position,offset,EDay(-2)
AD,first_delivery,offset,DateOffset(weekday=WE(3))
AD,last_delivery,offset,DateOffset(weekday=WE(3))
M6A,last_trade,offset,DateOffset(weekday=WE(3))
M6A,last_trade,offset,EDay(-2)
M6A,first_position,offset,DateOffset(weekday=WE(3))
M6A,first_position,offset,EDay(-2)
M6A,last_position,offset,DateOffset(weekday=WE(3))
M6A,last_position,offset,EDay(-2)
M6A,first_delivery,offset,DateOffset(weekday=WE(3))
M6A,last_delivery,offset,DateOffset(weekday=WE(3))
E1,last_trade,offset,DateOffset(weekday=WE(3))
E1,last_trade,offset,EDay(-2)
E1,first_position,offset,DateOffset(weekday=WE(3))
E1,first_position,offset,EDay(-2)
E1,last_position,offset,DateOffset(weekday=WE(3))
E1,last_position,offset,EDay(-2)
E1,first_delivery,offset,DateOffset(weekday=WE(3))
E1,last_delivery,offset,DateOffset(weekday=WE(3))
MSF,last_trade,offset,DateOffset(weekday=WE(3))
MSF,last_trade,offset,EDay(-2)
MSF,first_position,offset,DateOffset(weekday=WE(3))
MSF,first_position,offset,EDay(-2)
MSF,last_position,offset,DateOffset(weekday=WE(3))
MSF,last_position,offset,EDay(-2)
MSF,first_delivery,offset,DateOffset(weekday=WE(3))
MSF,last_delivery,offset,DateOffset(weekday=WE(3))
H,last_trade,offset,MonthEnd(n=0)
H,last_trade,offset,EDay(-2)
H,first_notice,offset,MonthBegin(0)
H,first_notice,offset,EDay(-2)
H,last_notice,offset,MonthEnd(n=0)
H,last_notice,offset,EDay(-1)
R,last_trade,offset,MonthEnd(n=0)
R,last_trade,offset,EDay(-2)
R,first_notice,offset,MonthBegin(0)
R,first_notice,offset,EDay(-2)
R,last_notice,offset,MonthEnd(n=0)
R,last_notice,offset,EDay(-1)
G,last_trade,offset,MonthEnd(n=0)
G,last_trade,offset,EDay(-2)
G,first_notice,offset,MonthBegin(0)
G,first_notice,offset,EDay(-2)
G,last_notice,offset,MonthEnd(n=0)
G,last_notice,offset,EDay(-1)
U,last_trade,offset,MonthEnd(n=0)
U,last_trade,offset,EDay(-2)
U,first_notice,offset,MonthBegin(0)
U,first_notice,offset,EDay(-2)
U,last_notice,offset,MonthEnd(n=0)
U,last_notice,offset,EDay(-1)
FDAX,last_trade,offset,DateOffset(weekday=FR(3))
FDAX,last_trade,observance,previous_exchange_day
FDAX,settlement_date,offset,DateOffset(weekday=FR(3))
FDAX,settlement_date,observance,previous_exchange_day
OBX,last_trade,offset,DateOffset(weekday=FR(3))
OBX,last_trade,observance,previous_exchange_day
OBX,settlement_date,offset,DateOffset(weekday=FR(3))
OBX,settlement_date,observance,previous_exchange_day
QO,last_trade,offset,MonthBegin(n=0)
QO,last_trade,offset,EDay(-3)
QO,settlement_date,offset,MonthBegin(n=0)
QO,settlement_date,offset,EDay(-3)
OMXS30,last_trade,offset,DateOffset(weekday=FR(3))
OMXS30,last_trade,observance,previous_exchange_day
OMXS30,settlement_date,offset,DateOffset(weekday=FR(3))
OMXS30,settlement_date,observance,previous_exchange_day
CC,last_notice,offset,MonthBegin(n=1)
CC,last_notice,offset,EDay(-11)
CC,last_trade,offset,MonthBegin(n=1)
CC,last_trade,offset,EDay(-12)
CC,first_notice,offset,MonthBegin(0)
CC,first_notice,offset,EDay(-10)
KC,last_notice,offset,MonthBegin(n=1)
KC,last_notice,offset,EDay(-8)
KC,last_trade,offset,MonthBegin(n=1)
KC,last_trade,offset,EDay(-9)
KC,first_notice,offset,MonthBegin(0)
KC,first_notice,offset,EDay(-7)
ZC,last_trade,day,15
ZC,last_trade,observance,"partial(next_exchange_day_offset,-1)"
ZC,settlement_date,day,15
ZC,settlement_date,observance,next_exchange_day
CT,last_notice,offset,MonthBegin(n=1)
CT,last_notice,offset,EDay(-12)
CT,last_trade,offset,MonthBegin(n=1)
CT,last_trade,offset,EDay(-17)
CT,first_notice,offset,MonthBegin(0)
CT,first_notice,offset,EDay(-5)
ZS,last_trade,day,15
ZS,last_trade,observance,"partial(next_exchange_day_offset,-1)"
ZS,settlement_date,day,15
ZS,settlement_date,observance,next_exchange_day
SB,last_notice,offset,MonthEnd(n=-1)
SB,last_notice,offset,EDay(1)
SB,last_trade,offset,MonthBegin(0)
SB,last_trade,offset,EDay(-1)
SB,first_notice,offset,MonthEnd(n=-1)
SB,first_notice,offset,EDay(1)
ZW,last_trade,day,15
ZW,last_trade,observance,"partial(next_exchange_day_offset,-1)"
ZW,settlement_date,day,15
ZW,settlement_date,observance,next_exchange_day
