root_symbol,instrument_name,underlying_name,exchange_id,exchange_alias,parent_calendar_id,child_calendar_id,underlying_asset_class_id,underlying_country_id,quote_currency_id,multiplier,tick_size,average_pricing,settle_start,settle_end,settle_method,settle_timezone,deliverable,final_settle_method,final_settle_start,final_settle_end,final_settle_timezone,last_trade_time,auto_close_date
MYJ,E-Micro JPY/USD,Japanese Yen,XCME,CME,XCME,FX,6,JP,USD,1250000,0.000001,,13:59,14:00,6J settle,exch,1,Delivery,9:15,9:16,exch,9:15,last_trade
EC,Euro FX Futures,Euro,XCME,CME,XCME,FX,6,EU,USD,125000,0.00005,,13:59,14:00,vwap,exch,1,Delivery,9:15,9:16,exch,9:15,last_trade
M6E,E-micro Euro FX Futures,Euro,XCME,CME,XCME,FX,6,EU,USD,12500,0.0001,,13:59,14:00,6E settle,exch,1,Delivery,9:15,9:16,exch,9:15,last_trade
C1,Canadian Dollar Futures,Canadian Dollar,XCME,CME,XCME,FX,6,CA,USD,100000,0.00005,,13:59,14:00,vwap,exch,1,Delivery,9:15,9:16,exch,9:15,last_trade
MCD,E-micro Canadian Dollar Futures,Canadian Dollar,XCME,CME,XCME,FX,6,CA,USD,10000,0.0001,,13:59,14:00,C1 settle,exch,1,Delivery,9:15,9:16,exch,9:15,last_trade
BP,British Pound Futures,British Pound,XCME,CME,XCME,FX,6,GB,USD,62500,0.0001,,13:59,14:00,vwap,exch,1,Delivery,9:15,9:16,exch,9:15,last_trade
M6B,E-micro British Pound Futures,British Pound,XCME,CME,XCME,FX,6,GB,USD,6250,0.0001,,13:59,14:00,BP settle,exch,1,Delivery,9:15,9:16,exch,9:15,last_trade
AD,Australian Dollar Futures,Australian Dollar,XCME,CME,XCME,FX,6,AU,USD,100000,0.0001,,13:59,14:00,vwap,exch,1,Delivery,9:15,9:16,exch,9:15,last_trade
M6A,E-micro Australian Dollar Futures,Australian Dollar,XCME,CME,XCME,FX,6,AU,USD,10000,0.0001,,13:59,14:00,AD settle,exch,1,Delivery,9:15,9:16,exch,9:15,last_trade
E1,Swiss Franc Futures,Swiss Franc,XCME,CME,XCME,FX,6,CH,USD,125000,0.0001,,13:59,14:00,vwap,exch,1,Delivery,9:15,9:16,exch,9:15,last_trade
MSF,E-micro Swiss Franc Futures,Swiss Franc,XCME,CME,XCME,FX,6,CH,USD,12500,0.0001,,13:59,14:00,E1 settle,exch,1,Delivery,9:15,9:16,exch,9:15,last_trade
CC,Cocoa Futures,Cocoa,IFUS,ICE,IFUS,SOFTS,7,US,USD,10,1,,13:30,13:30,last,exch,1,Delivery,13:29,13:30,exch,13:30,first_notice
KC,Coffee Futures,Coffee,IFUS,ICE,IFUS,SOFTS,7,US,USD,375,0.05,,13:30,13:30,last,exch,1,Delivery,13:29,13:30,exch,13:30,first_notice
ZC,Corn Futures,Corn,XCME,CBOT,XCME,GRAINS,7,US,USD,50,0.25,,13:14,13:15,vwap,exch,1,Delivery,12:00,12:01,exch,12:00,first_notice
CT,Cotton No. 2 Futures,Cotton No. 2,IFUS,ICE,IFUS,SOFTS,7,US,USD,500,0.01,,14:20,14:20,last,exch,1,Delivery,14:20,14:20,exch,14:20,first_notice
ZS,Soybean Futures,Soybean,XCME,CBOT,XCME,GRAINS,7,US,USD,50,0.25,,13:14,13:15,vwap,exch,1,Delivery,12:00,12:01,exch,12:00,last_trade
SB,Sugar No. 11 Futures,Sugar No. 11,IFUS,ICE,IFUS,SOFTS,7,US,USD,1120,0.01,,13:00,13:00,last,exch,1,Delivery,13:00,13:00,exch,13:00,last_trade
ZW,Chicago No. 2 Soft Red Winter Wheat,Soft Red Winter Wheat,XCME,CBOT,XCME,GRAINS,7,US,USD,50,0.25,,13:14,13:15,vwap,exch,1,Delivery,12:00,12:01,exch,12:00,first_notice
MP,Mexican Peso Futures,Mexican Peso,XCME,CME,XCME,FX,6,MX,USD,500000,0.00001,,13:59,14:00,vwap,exch,1,Delivery,9:15,9:16,exch,9:15,last_trade
NE,New Zealand Dollar Futures,New Zealand Dollar,XCME,CME,XCME,FX,6,NZ,USD,100000,0.0001,,13:59,14:00,vwap,exch,1,Delivery,9:15,9:16,exch,9:15,last_trade
MES,Micro E-mini S&P 500 Index Futures,S&P 500 Index,XCME,CME,XCME,EQD,5,US,USD,5,0.25,,15:14:30,15:15,vwap,exch,0,SOQ,9:30,9:30,exch,9:30,last_trade
HO,NY Harbor ULSD Futures,42000 Gallons ULSD NY Harbor,XNYM,NYMEX,XNYM,ENERGY,3,US,USD,42000,0.0001,,14:28,14:30,vwap,exch,1,vwap,14:00,14:30,exch,14:30,last_trade
VX,Cboe Volatility Index Futures,VIX,XCBF,CBOE,XCBF,,5,US,USD,1000,0.005,,15:15,15:15,last,exch,0,SOQ,8:30,8:30,exch,15:15,last_trade
FEF,SGX TSI Iron Ore CFC China Index Futures,SGX TSI Iron Ore,XSES,SGX,XSES,METALS,4,CN,USD,100,0.01,,17:30,17:30,cspa,exch,0,TSI iron ore reference price average in expiring month,18:00,18:00,exch,18:00,last_trade
