exchange_symbol,instrument_name,instrument_country_id,underlying_name,underlying_asset_class_id,type,face_value,settlement_days,coupon,day_counter,first_auction_date,issue_date,effective_date,maturity_date,period,redemption,settle_start,settle_end,settle_timezone,quote_currency_id,multiplier,tick_size,start_date,end_date,exchange_info,parent_calendar_id,child_calendar_id
912796UT4,B 03/19/2019,US,B 03/19/2019,2.0,BILL,100,1,0.0,Act/360,2019-01-17,2019-01-22,,2019-03-19,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-01-18,2019-03-18,USBOND,USBOND,
912796UU1,B 03/26/2019,US,B 03/26/2019,2.0,BILL,100,1,0.0,Act/360,2019-01-24,2019-01-29,,2019-03-26,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-01-25,2019-03-25,USBOND,USBOND,
912796UV9,B 04/02/2019,US,B 04/02/2019,2.0,BILL,100,1,0.0,Act/360,2019-01-31,2019-02-05,,2019-04-02,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-02-01,2019-04-01,USBOND,USBOND,
912796XJ3,B 03/01/2019,US,B 03/01/2019,2.0,BILL,100,1,0.0,Act/360,2019-02-06,2019-02-11,,2019-03-01,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-02-07,2019-02-28,USBOND,USBOND,
912796VF3,B 06/11/2019,US,B 06/11/2019,2.0,BILL,100,1,0.0,Act/360,2019-04-11,2019-04-16,,2019-06-11,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-04-12,2019-06-10,USBOND,USBOND,
912796SN0,B 10/17/2019,US,B 10/17/2019,2.0,BILL,100,1,0.0,Act/360,2019-04-15,2019-04-18,,2019-10-17,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-04-16,2019-10-16,USBOND,USBOND,
912796VG1,B 06/18/2019,US,B 06/18/2019,2.0,BILL,100,1,0.0,Act/360,2019-04-18,2019-04-23,,2019-06-18,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-04-22,2019-06-17,USBOND,USBOND,
912796SP5,B 10/24/2019,US,B 10/24/2019,2.0,BILL,100,1,0.0,Act/360,2019-04-22,2019-04-25,,2019-10-24,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-04-23,2019-10-23,USBOND,USBOND,
912796SM2,B 04/23/2020,US,B 04/23/2020,2.0,BILL,100,1,0.0,Act/360,2019-04-23,2019-04-25,,2020-04-23,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-04-24,2020-03-30,USBOND,USBOND,
912796VH9,B 06/25/2019,US,B 06/25/2019,2.0,BILL,100,1,0.0,Act/360,2019-04-25,2019-04-30,,2019-06-25,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-04-26,2019-06-24,USBOND,USBOND,
912796SQ3,B 10/31/2019,US,B 10/31/2019,2.0,BILL,100,1,0.0,Act/360,2019-04-29,2019-05-02,,2019-10-31,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-04-30,2019-10-30,USBOND,USBOND,
912796VJ5,B 07/02/2019,US,B 07/02/2019,2.0,BILL,100,1,0.0,Act/360,2019-05-02,2019-05-07,,2019-07-02,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-05-03,2019-07-01,USBOND,USBOND,
912796VK2,B 07/09/2019,US,B 07/09/2019,2.0,BILL,100,1,0.0,Act/360,2019-05-09,2019-05-14,,2019-07-09,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-05-10,2019-07-08,USBOND,USBOND,
912796SS9,B 11/14/2019,US,B 11/14/2019,2.0,BILL,100,1,0.0,Act/360,2019-05-13,2019-05-16,,2019-11-14,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-05-14,2019-11-13,USBOND,USBOND,
912796VL0,B 07/16/2019,US,B 07/16/2019,2.0,BILL,100,1,0.0,Act/360,2019-05-16,2019-05-21,,2019-07-16,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2019-05-17,2019-07-15,USBOND,USBOND,
